Timestamp,PPI
290359.6190172,882
290359.6191205,958
290359.6192201,924
290359.619303,883
290364.7428265,1043
290364.7429767,1044
290364.7430376,996
290364.7431447,986
290364.7432025,971
290369.4823697,937
290369.4825282,895
290369.4826129,949
290369.4827316,971
290369.4828358,959
290374.6754164,943
290374.675644,1014
290374.6757474,928
290374.6758472,820
290374.6759131,831
290374.6759688,942
290379.6265949,969
290379.6267037,890
290379.6267815,797
290379.6268001,829
290379.626848,882
290384.6378606,940
290384.6379754,972
290384.6380655,901
290384.6381472,890
290384.6382319,955
290384.6383068,976
290389.4751333,991
290389.4752582,874
290389.4753349,853
290389.4754165,955
290389.4754302,1007
290394.5681055,994
290394.5682446,941
290394.5683238,957
290394.5683853,981
290394.5684555,1009
290399.7241963,975
290399.7243476,916
290399.7244062,891
290399.7244652,926
290399.7244827,863
290399.7245503,840
290404.5398571,854
290404.5400126,973
290404.5401595,1001
290404.5402694,1018
290404.5403872,915
290409.6998225,896
290409.699985,909
290409.7000865,951
290409.7001825,985
290409.7002763,912
290414.66947,909
290414.6696381,999
290414.6697529,1019
290414.6698734,997
290414.6699544,927
290414.6700722,905
290419.7196089,883
290419.7197188,908
290419.7197249,945
290419.7197947,930
290419.719858,857
290424.4510654,903
290424.4512358,956
290424.451327,959
290424.4514516,869
290424.4515301,836
290424.4516165,864
290429.5797474,924
290429.5798847,979
290429.5800079,908
290429.5801331,910
290429.5802213,944
290434.6269555,987
290434.6270349,985
290434.6270806,938
290434.6271533,905
290434.6272585,939
290439.5450199,953
290439.545197,929
290439.5453037,832
290439.5453829,878
290439.5454699,954
290439.5455282,938
290444.713328,856
290444.713463,968
290444.7135274,941
290444.7136092,1292
290444.713757,1230
290449.5902945,851
290449.5904617,817
290449.590509,837
290449.5906722,830
290449.5906833,736
290449.5907415,759
290454.6599954,720
290454.6601725,797
290454.6602803,689
290454.6603829,785
290454.6604502,883
290454.6605463,845
290459.4254838,797
290459.42562,867
290459.4256676,857
290459.425747,829
290459.4258405,746
290459.4258802,904
290464.5892053,947
290464.5893557,964
290464.5894543,857
290464.5895582,1118
290464.5896588,718
290464.5897392,884
290469.6044078,820
290469.6045699,850
290469.6046244,842
290469.6046933,823
290469.604779,881
290474.6938069,888
290474.6939382,868
290474.6940756,1166
290474.6941674,1229
290474.694283,952
290479.7113222,728
290479.7114478,931
290479.7115237,752
290479.7116324,852
290479.7116661,770
290479.7117002,774
290479.7117811,752
290484.5371187,827
290484.5373224,832
290484.5374116,756
290484.5375278,901
290484.5375996,842
290484.5376822,865
290489.6712457,776
290489.6713592,799
290489.6714602,844
290489.6715516,696
290489.6716592,799
290489.6716702,779
290494.7184494,774
290494.7185308,879
290494.7185829,826
290494.7186546,733
290494.7186649,833
290494.7187283,799
290494.7187788,831
290499.6594816,811
290499.6595619,712
290499.6596193,859
290499.6597101,934
290499.6597895,700
290499.6598758,1026
290504.5880139,519
290504.5881281,778
290504.5882026,762
290504.5882493,754
290504.5883045,867
290504.5883516,797
290509.6739897,744
290509.6741033,857
290509.6741492,751
290509.674232,853
290509.6743349,732
290509.6743946,791
290514.3935187,747
290514.3936352,822
290514.3937115,720
290514.3937624,652
290514.3938042,745
290514.3938497,855
290514.3938924,836
290519.5168957,863
290519.517058,800
290519.5171181,800
290519.5172184,784
290519.5173355,812
290519.5174222,679
290524.6812517,812
290524.6813956,848
290524.6815026,875
290524.681555,900
290524.6816455,741
290524.6816917,875
290529.7240341,910
290529.7241393,793
290529.7242044,768
290529.7242189,848
290529.7242794,876
290529.7243683,718
290529.7244345,712
290534.6410869,914
290534.6412645,1001
290534.6412756,969
290534.6413206,948
290534.6413317,799
290539.5321627,893
290539.5322992,694
290539.5323936,812
290539.5324546,794
290539.532547,729
290539.5326084,855
290544.6099031,771
290544.6100944,841
290544.610177,849
290544.6102912,694
290544.6103917,779
290544.610436,894
290549.7080896,815
290549.7082224,777
290549.7082759,881
290549.7083376,877
290549.708405,833
290549.7084971,816
290554.5297988,836
290554.5299069,779
290554.5299729,767
290554.5300588,756
290554.5301772,771
290554.5302537,832
290554.5303406,829
290559.7209144,799
290559.7209428,798
290559.721066,886
290559.7211224,880
290559.721203,784
290559.7213095,821
290564.6507514,846
290564.6509184,802
290564.6509622,838
290564.6510321,783
290564.6511032,902
290569.6618379,867
290569.6619387,864
290569.6620332,929
290569.6621179,965
290569.6621943,742
290569.6622474,834
290574.481828,783
290574.4819701,804
290574.4820462,734
290574.482082,868
290574.4821781,831
290574.4822429,866
290579.674152,885
290579.6742512,907
290579.674296,892
290579.6743416,771
290579.6743662,773
290579.67443,792
290579.6744809,819
290584.6819555,797
290584.6820783,837
290584.6821766,894
290584.6822821,969
290584.6823674,834
290589.5741964,826
290589.5744285,836
290589.5745004,865
290589.574573,838
290589.574603,777
290589.5746817,787
290594.7682466,812
290594.768407,879
290594.7684868,798
290594.7685791,806
290594.7686515,759
290594.7687213,854
290599.622667,823
290599.6227772,876
290599.6229213,854
290599.6229915,786
290599.6231046,930
290599.623179,885
290599.6232567,642
290604.7004195,834
290604.7006066,768
290604.7006894,861
290604.7007995,826
290604.7008834,851
290609.4638754,935
290609.4640523,887
290609.4640632,787
290609.4641417,837
290609.4642226,1089
290614.6334454,538
290614.6335443,1599
290614.6336326,920
290614.6337318,855
290614.6338285,863
290614.6339151,823
290619.6341239,871
290619.6341731,1116
290619.6342069,872
290619.6342449,408
290619.6343115,798
290619.6343451,723
290619.634376,706
290624.60927,806
290624.6094227,1104
290624.6095346,666
290624.6096216,860
290624.6096732,742
290624.609781,772
290629.4700758,812
290629.4702085,769
290629.4702939,845
290629.4703802,879
290629.4704519,884
290629.4705049,954
290634.5744792,779
290634.5746388,915
290634.5747177,833
290634.5747553,876
290634.5747916,1025
290634.5748583,721
290639.6715792,811
290639.6716759,888
290639.6717477,921
290639.6718289,891
290639.6718642,835
290644.516499,891
290644.5166289,804
290644.5167044,828
290644.5167967,847
290644.5169317,928
290644.5169989,864
290649.6405774,969
290649.6407421,868
290649.640879,855
290649.6409838,865
290649.6410252,871
290649.641064,792
290654.5955773,862
290654.5957852,752
290654.5957902,801
290654.5959332,756
290654.5959443,735
290654.5960443,720
290654.5961168,657
290659.7179103,675
290659.7179955,639
290659.7181057,712
290659.718201,1284
290664.460138,1272
290664.4602505,1306
290664.4603122,1837
290669.5806288,564
290669.5807197,630
290669.5808106,1325
290669.5808973,951
290669.5810005,875
290669.5811169,809
290669.5812148,902
290669.5812816,972
290674.750853,952
290674.7509965,817
290674.7510568,747
290674.7511557,744
290674.7512243,777
290674.751253,691
290679.4838059,762
290679.4840543,824
290679.4840755,815
290679.4841347,846
290679.4842125,835
290679.4842948,847
290684.6489151,1716
290684.6490646,937
290684.6491886,1655
290684.6492728,592
290689.5627126,896
290689.5628784,896
290689.5629599,914
290689.5630853,798
290689.563169,869
290689.563285,849
290694.6766742,891
290694.6767759,886
290694.6768318,1164
290694.6768694,1422
290699.4086931,790
290699.408729,819
290699.4088067,931
290699.4088681,951
290699.4089078,807
290699.4089522,869
290699.4089896,847
290704.5750241,815
290704.5751864,846
290704.5752644,901
290704.5753471,952
290704.5754157,904
290709.7271643,911
290709.7273439,1021
290709.7274905,859
290709.7275055,798
290709.7275505,882
290709.7275666,860
290714.6839659,832
290714.6841041,831
290714.6841815,1702
290714.6842062,1156
290719.6847857,761
290719.6848867,899
290719.6849843,846
290719.6851133,811
290719.685145,764
290719.6851799,999
290719.6852215,599
290724.5263553,1505
290724.5264473,990
290724.5265049,869
290724.5265459,1157
290729.6249123,545
290729.6250833,937
290729.6251565,760
290729.6252673,875
290729.6253347,861
290729.6253777,1028
290729.6254771,604
290734.7299221,788
290734.7299955,878
290734.7300679,881
290734.730149,858
290734.7302212,763
290739.5849805,984
290739.5850949,913
290739.5851661,825
290739.5852223,851
290739.5853283,896
290739.5854227,897
290744.5679687,870
290744.5681787,838
290744.5682283,832
290744.5683388,879
290744.5684329,780
290749.6841004,805
290749.6843106,1556
290749.6843872,849
290749.684468,779
290749.6845661,864
290749.6846783,981
290754.7111733,1084
290754.7113823,802
290754.7114381,807
290754.7115492,880
290754.7116779,874
290759.4975423,860
290759.4977174,933
290759.4977284,984
290759.4977384,1465
290764.6646363,714
290764.664676,723
290764.664796,671
290764.6648919,622
290764.664953,692
290764.6649863,614
290764.6650319,632
290764.6651066,638
290764.665184,647
290764.6652506,621
290769.6697251,676
290769.6698104,645
290769.6699562,661
290769.6700498,677
290769.6701442,687
290769.6702548,711
290769.6703393,744
290774.5924628,787
290774.5926114,812
290774.592657,843
290774.5927778,884
290774.5928642,997
290779.5196246,1062
290779.5198262,1071
290779.5198976,1065
290779.5200247,1004
290779.5200565,995
290784.6174689,1037
290784.6175676,1073
290784.6176543,1405
290784.6177538,682
290784.6177888,1018
290789.7217645,980
290789.7219199,1070
290789.7220266,1058
290789.7221249,815
290789.722192,897
290794.5460241,926
290794.546092,1069
290794.5461584,1082
290794.5462271,1030
290794.5462697,1055
290799.6789064,1074
290799.6790675,1042
290799.6791566,993
290799.6792893,1043
290799.6793774,1063
290804.6818815,1024
290804.6819809,963
290804.6821043,989
290804.6821843,1034
290804.6822574,1016
290809.5956214,969
290809.5957974,977
290809.5959391,976
290809.5959935,988
290809.5960975,953
290814.462667,959
290814.4627318,927
290814.4627943,970
290814.4628834,959
290814.4629562,939
290819.5678414,1045
290819.5679,1063
290819.567934,1008
290819.5680214,967
290824.7214711,763
290824.7215273,781
290824.721587,1120
290824.72165,855
290824.7216961,763
290824.7217639,766
290824.7218237,900
290829.5220359,1107
290829.5222109,1132
290829.5223093,1085
290829.5223907,962
290829.5224595,957
290834.7148784,1010
290834.7149845,1110
290834.7150323,1083
290834.7150978,689
290834.7151964,917
290839.6429372,928
290839.6429531,927
290839.6430913,999
290839.6431025,1025
290839.6432266,1055
290844.7677737,986
290844.7677938,982
290844.7678,1043
290844.7678682,1044
290844.7678888,952
290849.4441977,900
290849.4443224,1026
290849.4444097,896
290849.4445262,1944
290854.5796445,695
290854.5796607,720
290854.579803,803
290854.5799343,881
290854.5799744,834
290854.5800463,887
290859.6495737,985
290859.6497705,983
290859.649895,926
290859.6499526,897
290859.6500297,927
290859.6501123,971
290864.5319293,980
290864.532056,909
290864.5320989,872
290864.5322017,907
290864.5323188,987
290869.6907253,994
290869.6908424,859
290869.6909425,847
290869.6910262,942
290869.6910933,1007
290874.5627935,1019
290874.5629378,973
290874.5630507,904
290874.5631052,935
290874.5631511,981
290874.5632571,987
290879.662096,912
290879.662156,873
290879.662209,917
290879.6622488,937
290879.6622821,934
290884.4580613,972
290884.4581472,1009
290884.4581863,975
290884.4582247,947
290884.4583077,836
290884.4583473,797
290889.6259356,800
290889.626128,929
290889.6261436,1056
290889.6262147,1053
290889.626276,992
290894.6354869,869
290894.6356415,840
290894.6357492,855
290894.6358555,902
290894.635948,948
290899.6987872,951
290899.6988961,983
290899.6989397,839
290899.6989715,824
290899.69904,951
290899.6990727,1054
290904.714511,1055
290904.7146506,1029
290904.7147125,952
290904.7147916,922
290904.7148563,918
290909.5453335,976
290909.5454299,932
290909.545515,846
290909.5456006,840
290909.5456928,864
290909.5457638,789
290914.6964752,795
290914.6965642,966
290914.6966997,907
290914.6967816,838
290914.6968528,821
290919.4740508,854
290919.4742233,936
290919.4742379,937
290919.474361,901
290919.4744673,876
290919.4745069,923
290924.6284756,984
290924.6286318,1037
290924.6286908,1043
