Timestamp,EventType,KeyCode,Char
357240.560662,KeyDown,69,e
357240.6655978,KeyUp,82,r
357240.689684,KeyUp,69,e
357240.7551957,KeyDown,84,t
357240.8101246,KeyDown,65,a
357240.9102498,KeyUp,84,t
357240.9789814,KeyUp,65,a
357241.0038563,KeyDown,32,space
357241.1074825,KeyUp,32,space
357241.1673411,KeyDown,13,enter
357241.2931105,KeyUp,13,enter
357241.7004873,KeyDown,77,m
357241.7901672,KeyDown,73,i
357241.838668,KeyUp,77,m
357241.8948003,KeyUp,73,i
357241.9592062,KeyDown,90,z
357242.0783856,KeyDown,85,u
357242.088994,KeyUp,90,z
357242.1376358,KeyUp,85,u
357242.2426912,KeyDown,72,h
357242.3180089,KeyDown,65,a
357242.3425934,KeyUp,72,h
357242.4062087,KeyUp,65,a
357242.4761116,KeyDown,32,space
357242.5308115,KeyDown,13,enter
357242.5956805,KeyUp,32,space
357242.6149169,KeyUp,13,enter
357243.4556935,KeyDown,188,","
357243.5359783,KeyUp,188,","
357243.6200029,KeyDown,13,enter
357243.7246781,KeyUp,13,enter
357244.0134182,KeyDown,77,m
357244.1032134,KeyDown,69,e
357244.1121345,KeyUp,77,m
357244.2269367,KeyDown,78,n
357244.2363326,KeyUp,69,e
357244.3120307,KeyDown,73,i
357244.3417376,KeyUp,78,n
357244.390958,KeyUp,73,i
357244.5602665,KeyDown,77,m
357244.6451868,KeyDown,73,i
357244.6995358,KeyUp,77,m
357244.7543659,KeyUp,73,i
357244.9944186,KeyDown,69,e
357245.1279008,KeyUp,69,e
357245.2624471,KeyDown,78,n
357245.3172915,KeyDown,65,a
357245.3662578,KeyUp,78,n
357245.4406788,KeyUp,65,a
357245.4506188,KeyDown,73,i
357245.5555199,KeyUp,73,i
357245.6091788,KeyDown,32,space
357245.7344835,KeyDown,13,enter
357245.7583827,KeyUp,32,space
357245.863043,KeyUp,13,enter
357246.8237655,KeyDown,75,k
357246.9231835,KeyDown,79,o
357246.9980764,KeyUp,75,k
357247.0478321,KeyUp,79,o
357247.2025221,KeyDown,77,m
357247.2925884,KeyDown,65,a
357247.3017111,KeyUp,77,m
357247.4205717,KeyUp,65,a
357247.7134213,KeyDown,75,k
357247.8030499,KeyUp,75,k
357247.8130387,KeyDown,65,a
357247.9381158,KeyUp,65,a
357247.9486391,KeyDown,73,i
357248.0269912,KeyUp,73,i
357248.3553676,KeyDown,32,space
357248.4363088,KeyUp,32,space
357248.5945203,KeyDown,13,enter
357248.6885981,KeyUp,13,enter
357249.6350917,KeyDown,84,t
357249.728393,KeyUp,84,t
357249.7376972,KeyDown,85,u
357249.8137563,KeyUp,85,u
357250.0917583,KeyDown,66,b
357250.2155923,KeyDown,85,u
357250.2260613,KeyUp,66,b
357250.2765488,KeyUp,85,u
357250.4148526,KeyDown,78,n
357250.4795572,KeyDown,73,i
357250.5293015,KeyUp,78,n
357250.5943232,KeyUp,73,i
357251.0215993,KeyDown,78,n
357251.0960424,KeyDown,65,a
357251.1259817,KeyUp,78,n
357251.2370762,KeyUp,65,a
357251.6436512,KeyDown,8,backspace
357251.7668893,KeyUp,8,backspace
357252.3734997,KeyDown,8,backspace
357252.4534783,KeyUp,8,backspace
357252.9856631,KeyDown,89,y
357253.0502517,KeyUp,89,y
357253.5336463,KeyDown,8,backspace
357253.621979,KeyUp,8,backspace
357253.9316262,KeyDown,84,t
357254.0310419,KeyUp,84,t
357254.0599367,KeyDown,79,o
357254.1498598,KeyUp,79,o
357254.2955097,KeyDown,78,n
357254.3441365,KeyDown,65,a
357254.3840233,KeyUp,78,n
357254.4787411,KeyUp,65,a
357254.6329396,KeyDown,84,t
357254.7171384,KeyUp,84,t
357254.7868335,KeyDown,84,t
357254.8914797,KeyDown,69,e
357254.9409033,KeyUp,84,t
357255.0149704,KeyUp,69,e
357255.0403859,KeyDown,32,space
357255.1693081,KeyUp,32,space
357255.3730077,KeyDown,13,enter
357255.4573473,KeyUp,13,enter
357256.3731407,KeyDown,83,s
357256.4927129,KeyUp,83,s
357256.5174304,KeyDown,79,o
357256.6115628,KeyUp,79,o
357256.9309671,KeyDown,82,r
357257.0200052,KeyDown,65,a
357257.1243287,KeyUp,82,r
357257.1737732,KeyUp,65,a
357257.5525189,KeyDown,72,h
357257.6419335,KeyUp,72,h
357257.6517057,KeyDown,69,e
357257.7703385,KeyUp,69,e
357258.0344465,KeyDown,84,t
357258.143586,KeyUp,84,t
357258.1736605,KeyDown,79,o
357258.2544193,KeyUp,79,o
357258.322909,KeyDown,32,space
357258.4027562,KeyDown,13,enter
357258.4316697,KeyUp,32,space
357258.4964412,KeyUp,13,enter
357261.2822774,KeyDown,78,n
357261.331797,KeyDown,79,o
357261.3917867,KeyUp,78,n
357261.4621351,KeyUp,79,o
357261.5657096,KeyDown,66,b
357261.6701608,KeyUp,66,b
357261.6802585,KeyDown,79,o
357261.7864935,KeyUp,79,o
357261.9852461,KeyDown,84,t
357262.0486924,KeyUp,84,t
357262.1179877,KeyDown,84,t
357262.2004087,KeyDown,69,e
357262.2384499,KeyUp,84,t
357262.3125861,KeyUp,69,e
357262.3417737,KeyDown,73,i
357262.4370922,KeyUp,73,i
357262.5810778,KeyDown,75,k
357262.6255944,KeyUp,75,k
357262.6651281,KeyDown,75,k
357262.7697909,KeyUp,75,k
357263.0833806,KeyDown,8,backspace
357263.173001,KeyUp,8,backspace
357263.8563426,KeyDown,73,i
357263.9444499,KeyUp,73,i
357264.0638038,KeyDown,77,m
357264.127791,KeyDown,65,a
357264.1590168,KeyUp,77,m
357264.2378249,KeyUp,65,a
357264.2899952,KeyDown,83,s
357264.3467856,KeyDown,85,u
357264.4120486,KeyUp,85,u
357264.4212309,KeyUp,83,s
357264.4667138,KeyDown,32,space
357264.5404397,KeyUp,32,space
357265.2081438,KeyDown,190,.
357265.2824811,KeyUp,190,.
357265.4212401,KeyDown,13,enter
357265.4962087,KeyUp,13,enter
357266.9442514,KeyDown,83,s
357267.0730204,KeyUp,83,s
357267.0830927,KeyDown,79,o
357267.16887,KeyUp,79,o
357267.4271678,KeyDown,82,r
357267.5258041,KeyDown,65,a
357267.6157712,KeyUp,82,r
357267.6800873,KeyUp,65,a
357267.7344055,KeyDown,78,n
357267.8092571,KeyDown,79,o
357267.8590614,KeyUp,78,n
357267.9295225,KeyUp,79,o
357268.3421356,KeyDown,84,t
357268.4268522,KeyDown,65,a
357268.5211225,KeyUp,84,t
357268.5603431,KeyUp,65,a
357268.6102077,KeyDown,75,k
357268.6949106,KeyDown,65,a
357268.7053296,KeyUp,75,k
357268.8347318,KeyUp,65,a
357268.8590318,KeyDown,73,i
357268.9242801,KeyUp,73,i
357268.9986637,KeyDown,32,space
357269.1076248,KeyDown,13,enter
357269.1171746,KeyUp,32,space
357269.1885525,KeyUp,13,enter
357270.8687665,KeyDown,84,t
357270.9633484,KeyUp,84,t
357270.9730198,KeyDown,79,o
357271.0587502,KeyUp,79,o
357271.163007,KeyDown,75,k
357271.2229301,KeyDown,79,o
357271.2771737,KeyUp,75,k
357271.357014,KeyUp,79,o
357271.540779,KeyDown,82,r
357271.6504761,KeyUp,82,r
357271.6592907,KeyDown,79,o
357271.7261174,KeyUp,79,o
357271.8333743,KeyDown,72,h
357271.9255607,KeyUp,72,h
357271.9329354,KeyDown,65,a
357272.0427941,KeyUp,65,a
357272.0521907,KeyDown,32,space
357272.1307912,KeyDown,13,enter
357272.1776164,KeyUp,32,space
357272.221699,KeyUp,13,enter
357273.5655864,KeyDown,84,t
357273.6597072,KeyUp,84,t
357273.709786,KeyDown,79,o
357273.7945658,KeyUp,79,o
357273.8730229,KeyDown,82,r
357274.0082327,KeyDown,69,e
357274.087769,KeyUp,82,r
357274.1525088,KeyUp,69,e
357274.3455661,KeyDown,8,backspace
357274.4547101,KeyUp,8,backspace
357274.8337183,KeyDown,84,t
357274.9624337,KeyDown,69,e
357275.0381122,KeyUp,84,t
357275.0867484,KeyUp,69,e
357275.2707451,KeyDown,77,m
357275.3502125,KeyDown,79,o
357275.3808424,KeyUp,77,m
357275.4548996,KeyUp,79,o
357275.6941772,KeyDown,84,t
357275.8184674,KeyDown,85,u
357275.8276391,KeyUp,84,t
357275.8828105,KeyUp,85,u
357276.0322286,KeyDown,77,m
357276.1129526,KeyUp,77,m
357276.1523736,KeyDown,69,e
357276.2605337,KeyUp,69,e
357276.3701438,KeyDown,84,t
357276.4354992,KeyDown,65,a
357276.5197908,KeyUp,84,t
357276.5794654,KeyUp,65,a
357276.5992674,KeyDown,73,i
357276.6748011,KeyUp,73,i
357276.7880555,KeyDown,78,n
357276.8627053,KeyDown,79,o
357276.9126908,KeyUp,78,n
357276.9624858,KeyDown,68,d
357276.9716601,KeyUp,79,o
357277.0511853,KeyUp,68,d
357277.1073904,KeyDown,69,e
357277.210419,KeyDown,32,space
357277.2303718,KeyUp,69,e
357277.2856523,KeyDown,13,enter
357277.3296759,KeyUp,32,space
357277.3851583,KeyUp,13,enter
357278.584833,KeyDown,188,","
357278.667829,KeyUp,188,","
357278.7678241,KeyDown,13,enter
357278.8773634,KeyUp,13,enter
357279.3335836,KeyDown,77,m
357279.440096,KeyDown,73,i
357279.47983,KeyUp,77,m
357279.5542333,KeyUp,73,i
357279.5785791,KeyDown,90,z
357279.7089531,KeyUp,90,z
357279.7181953,KeyDown,85,u
357279.7773442,KeyUp,85,u
357279.9422274,KeyDown,78,n
357280.0364985,KeyDown,79,o
357280.111367,KeyUp,78,n
357280.1658894,KeyUp,79,o
357280.2448761,KeyDown,32,space
357280.3290126,KeyDown,13,enter
357280.3690533,KeyUp,32,space
357280.4349229,KeyUp,13,enter
357285.7812947,KeyDown,84,t
357285.8854684,KeyUp,84,t
357285.9149216,KeyDown,85,u
357286.0098897,KeyUp,85,u
357286.1741788,KeyDown,66,b
357286.2892905,KeyUp,66,b
357286.2989643,KeyDown,85,u
357286.3576966,KeyUp,85,u
357286.4727127,KeyDown,72,h
357286.5277481,KeyDown,65,a
357286.5574264,KeyUp,72,h
357286.6621285,KeyUp,65,a
357286.6861318,KeyDown,32,space
357286.7658845,KeyDown,13,enter
357286.8108014,KeyUp,32,space
357286.8854279,KeyUp,13,enter
357287.7968195,KeyDown,65,a
357287.9259447,KeyUp,65,a
357288.2333983,KeyDown,84,t
357288.3339805,KeyDown,85,u
357288.3481061,KeyUp,84,t
357288.4026993,KeyUp,85,u
357288.5373428,KeyDown,77,m
357288.5968965,KeyDown,65,a
357288.6361607,KeyUp,77,m
357288.726583,KeyUp,65,a
357288.8653872,KeyDown,84,t
357288.9501761,KeyUp,84,t
357289.0250812,KeyDown,84,t
357289.1053022,KeyDown,69,e
357289.1485401,KeyUp,84,t
357289.1988008,KeyUp,69,e
357289.2124056,KeyDown,32,space
357289.2937883,KeyDown,13,enter
357289.3619782,KeyUp,32,space
357289.4170072,KeyUp,13,enter
357290.4967897,KeyDown,75,k
357290.6159122,KeyUp,75,k
357290.6462274,KeyDown,85,u
357290.7249858,KeyUp,85,u
357290.85025,KeyDown,77,m
357290.9294901,KeyDown,79,o
357290.9840356,KeyUp,77,m
357291.0441957,KeyUp,79,o
357291.1092227,KeyDown,78,n
357291.1780568,KeyDown,73,i
357291.2184129,KeyUp,78,n
357291.2680261,KeyUp,73,i
357291.3423494,KeyDown,32,space
357291.4369105,KeyDown,13,enter
357291.4712216,KeyUp,32,space
357291.5209728,KeyUp,13,enter
357292.376454,KeyDown,75,k
357292.4711355,KeyDown,65,a
357292.4908633,KeyUp,75,k
357292.5913647,KeyUp,65,a
357292.6454151,KeyDown,87,w
357292.749886,KeyDown,65,a
357292.8244495,KeyUp,87,w
357292.899281,KeyUp,65,a
357293.1175696,KeyDown,82,r
357293.2374463,KeyDown,73,i
357293.2462183,KeyUp,82,r
357293.312374,KeyUp,73,i
357293.4159423,KeyDown,77,m
357293.4805268,KeyDown,65,a
357293.5107972,KeyUp,77,m
357293.6015348,KeyUp,65,a
357293.6547258,KeyDown,83,s
357293.7395481,KeyDown,85,u
357293.794327,KeyUp,83,s
357293.8738063,KeyUp,85,u
357293.9382075,KeyDown,32,space
357294.0181666,KeyUp,32,space
357294.2618055,KeyDown,190,.
357294.3365004,KeyUp,190,.
357294.4686453,KeyDown,13,enter
357294.5401355,KeyUp,13,enter
357297.1960817,KeyDown,75,k
357297.3306589,KeyUp,75,k
357297.3557135,KeyDown,85,u
357297.4256052,KeyUp,85,u
357297.554676,KeyDown,77,m
357297.6291763,KeyDown,79,o
357297.6793107,KeyUp,77,m
357297.7480147,KeyUp,79,o
357297.7979115,KeyDown,78,n
357297.8827329,KeyDown,79,o
357297.9371947,KeyUp,78,n
357297.9731668,KeyUp,79,o
357298.1264708,KeyDown,78,n
357298.2007316,KeyDown,65,a
357298.2102965,KeyUp,78,n
357298.3256404,KeyUp,65,a
357298.3399604,KeyDown,75,k
357298.4251635,KeyUp,75,k
357298.4543572,KeyDown,65,a
357298.5503979,KeyDown,78,n
357298.5798156,KeyUp,65,a
357298.6233701,KeyDown,79,o
357298.6483326,KeyUp,78,n
357298.7282634,KeyUp,79,o
357298.7826387,KeyDown,32,space
357298.8673001,KeyDown,13,enter
357298.9025185,KeyUp,32,space
357298.9674154,KeyUp,13,enter
357299.6783425,KeyDown,77,m
357299.7829526,KeyDown,73,i
357299.837422,KeyUp,77,m
357299.9022504,KeyUp,73,i
357300.0421947,KeyDown,90,z
357300.1056174,KeyDown,85,u
357300.1656703,KeyUp,90,z
357300.1804612,KeyUp,85,u
357300.3295265,KeyDown,78,n
357300.4139507,KeyDown,79,o
357300.4992333,KeyUp,78,n
357300.5486826,KeyUp,79,o
357301.2348099,KeyDown,84,t
357301.3298486,KeyDown,85,u
357301.3392145,KeyUp,84,t
357301.3936421,KeyUp,85,u
357301.562814,KeyDown,66,b
357301.6627233,KeyUp,66,b
357301.6724303,KeyDown,85,u
357301.7319439,KeyUp,85,u
357301.8513869,KeyDown,72,h
357301.9311693,KeyDown,65,a
357301.9453778,KeyUp,72,h
357302.0519177,KeyUp,65,a
357302.0748771,KeyDown,32,space
357302.1299326,KeyDown,13,enter
357302.1896238,KeyUp,32,space
357302.2242128,KeyUp,13,enter
357302.90138,KeyDown,65,a
357303.0367731,KeyUp,65,a
357303.2000571,KeyDown,84,t
357303.2892996,KeyDown,85,u
357303.2983926,KeyUp,84,t
357303.3632726,KeyUp,85,u
357303.4984406,KeyDown,65,a
357303.5022388,KeyDown,77,m
357303.5728456,KeyUp,77,m
357303.632795,KeyUp,65,a
357303.99135,KeyDown,8,backspace
357304.0747147,KeyUp,8,backspace
357304.1637421,KeyDown,8,backspace
357304.2285888,KeyUp,8,backspace
357304.3178977,KeyDown,8,backspace
357304.3731682,KeyUp,8,backspace
357304.4673639,KeyDown,8,backspace
357304.5273578,KeyUp,8,backspace
357304.6119973,KeyDown,8,backspace
357304.6763007,KeyUp,8,backspace
357304.766128,KeyDown,8,backspace
357304.8259606,KeyUp,8,backspace
357306.3435488,KeyDown,83,s
357306.4876948,KeyDown,85,u
357306.4963027,KeyUp,83,s
